=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.03 12:35:16 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
161.38,300,31.483, ,,,,,,,,,,
157.63,300,31.551, ,,,,,,,,,,
155.44,300,31.62, ,,,,,,,,,,
156.31,300,31.688, ,,,,,,,,,,
155.62,300,31.756, ,,,,,,,,,,
146.01,300,31.824, ,,,,,,,,,,
132.93,300,31.893, ,,,,,,,,,,
117.76,300,31.961, ,,,,,,,,,,
102.9,300,32.029, ,,,,,,,,,,
90.53,300,32.098, ,,,,,,,,,,
90.53,300,32.164, ,,,,,,,,,,
81.35,0,32.177, ,,,,,,,,,,
81.35,0,32.243, ,,,,,,,,,,
75.51,0,32.256, ,,,,,,,,,,
75.51,0,32.323, ,,,,,,,,,,
72.45,0,32.335, ,,,,,,,,,,
72.45,0,32.403, ,,,,,,,,,,
72.02,0,32.414, ,,,,,,,,,,
72.02,0,32.483, ,,,,,,,,,,
71.42,0,32.494, ,,,,,,,,,,
71.42,0,32.562, ,,,,,,,,,,
71.19,0,32.574, ,,,,,,,,,,
71.19,0,32.642, ,,,,,,,,,,
72.02,0,32.654, ,,,,,,,,,,
72.02,0,32.721, ,,,,,,,,,,
75.3,0,32.733, ,,,,,,,,,,
75.3,0,32.8, ,,,,,,,,,,
80.41,0,32.813, ,,,,,,,,,,
80.41,0,32.88, ,,,,,,,,,,
87.31,0,32.892, ,,,,,,,,,,
87.31,0,32.96, ,,,,,,,,,,
98.45,0,32.972, ,,,,,,,,,,
98.45,0,33.04, ,,,,,,,,,,
115.92,0,33.051, ,,,,,,,,,,
134.63,0,33.121, ,,,,,,,,,,
150.92,300,33.189, ,,,,,,,,,,
161.93,300,33.257, ,,,,,,,,,,
162.72,300,33.326, ,,,,,,,,,,
158.69,300,33.394, ,,,,,,,,,,
157.65,300,33.462, ,,,,,,,,,,
158.2,300,33.53, ,,,,,,,,,,
157.92,300,33.598, ,,,,,,,,,,
150.89,300,33.667, ,,,,,,,,,,
140.45,300,33.735, ,,,,,,,,,,
127.58,300,33.803, ,,,,,,,,,,
111.05,300,33.871, ,,,,,,,,,,
97.31,300,33.94, ,,,,,,,,,,
97.31,300,34.007, ,,,,,,,,,,
85.87,300,34.019, ,,,,,,,,,,
85.87,300,34.086, ,,,,,,,,,,
78.2,0,34.098, ,,,,,,,,,,
78.2,0,34.165, ,,,,,,,,,,
78.2,0,34.178, ,,,,,,,,,,
72.91,0,34.189, ,,,,,,,,,,
72.91,0,34.256, ,,,,,,,,,,
70.78,0,34.269, ,,,,,,,,,,
70.78,0,34.336, ,,,,,,,,,,
70.47,0,34.348, ,,,,,,,,,,
70.47,0,34.415, ,,,,,,,,,,
70.39,0,34.427, ,,,,,,,,,,
70.39,0,34.495, ,,,,,,,,,,
70.44,0,34.507, ,,,,,,,,,,
70.44,0,34.575, ,,,,,,,,,,
70.61,0,34.587, ,,,,,,,,,,
70.61,0,34.655, ,,,,,,,,,,
73.8,0,34.666, ,,,,,,,,,,
73.8,0,34.734, ,,,,,,,,,,
77.64,0,34.746, ,,,,,,,,,,
77.64,0,34.813, ,,,,,,,,,,
83.6,0,34.826, ,,,,,,,,,,
83.6,0,34.893, ,,,,,,,,,,
93.12,0,34.905, ,,,,,,,,,,
93.12,0,34.972, ,,,,,,,,,,
107.87,0,34.984, ,,,,,,,,,,
125.77,0,35.054, ,,,,,,,,,,
143.58,300,35.122, ,,,,,,,,,,
157.78,300,35.19, ,,,,,,,,,,
161.87,300,35.259, ,,,,,,,,,,
156.92,300,35.326, ,,,,,,,,,,
156.42,300,35.395, ,,,,,,,,,,
155.71,300,35.464, ,,,,,,,,,,
155.9,300,35.531, ,,,,,,,,,,
147.33,300,35.6, ,,,,,,,,,,
135.01,300,35.668, ,,,,,,,,,,
120.44,300,35.736, ,,,,,,,,,,
104.81,300,35.805, ,,,,,,,,,,
92.45,300,35.873, ,,,,,,,,,,
92.45,300,35.94, ,,,,,,,,,,
82.58,0,35.951, ,,,,,,,,,,
82.58,0,36.019, ,,,,,,,,,,
76.33,0,36.031, ,,,,,,,,,,
76.33,0,36.099, ,,,,,,,,,,
72.51,0,36.111, ,,,,,,,,,,
72.51,0,36.178, ,,,,,,,,,,
72,0,36.19, ,,,,,,,,,,
72,0,36.257, ,,,,,,,,,,
72,0,36.27, ,,,,,,,,,,
71.55,0,36.282, ,,,,,,,,,,
71.55,0,36.348, ,,,,,,,,,,
71.33,0,36.361, ,,,,,,,,,,
71.33,0,36.428, ,,,,,,,,,,
72.65,0,36.441, ,,,,,,,,,,
72.65,0,36.508, ,,,,,,,,,,
76.22,0,36.519, ,,,,,,,,,,
76.22,0,36.587, ,,,,,,,,,,
80.81,0,36.599, ,,,,,,,,,,
80.81,0,36.667, ,,,,,,,,,,
89.39,0,36.679, ,,,,,,,,,,
89.39,0,36.747, ,,,,,,,,,,
101.97,0,36.759, ,,,,,,,,,,
118.14,0,36.828, ,,,,,,,,,,
136.38,0,36.896, ,,,,,,,,,,
152.74,300,36.964, ,,,,,,,,,,
162.56,300,37.032, ,,,,,,,,,,
161.73,300,37.101, ,,,,,,,,,,
157.88,300,37.169, ,,,,,,,,,,
157.27,300,37.237, ,,,,,,,,,,
157.84,300,37.306, ,,,,,,,,,,
158.05,300,37.373, ,,,,,,,,,,
151.98,300,37.442, ,,,,,,,,,,
141.22,300,37.511, ,,,,,,,,,,
128.68,300,37.578, ,,,,,,,,,,
112.74,300,37.647, ,,,,,,,,,,
98.34,300,37.715, ,,,,,,,,,,
98.34,300,37.782, ,,,,,,,,,,
86.98,300,37.793, ,,,,,,,,,,
86.98,300,37.861, ,,,,,,,,,,
78.67,0,37.873, ,,,,,,,,,,
78.67,0,37.941, ,,,,,,,,,,
73.63,0,37.953, ,,,,,,,,,,
73.63,0,38.021, ,,,,,,,,,,
71.38,0,38.033, ,,,,,,,,,,
71.38,0,38.1, ,,,,,,,,,,
70.44,0,38.112, ,,,,,,,,,,
70.44,0,38.179, ,,,,,,,,,,
70.68,0,38.192, ,,,,,,,,,,
70.68,0,38.259, ,,,,,,,,,,
70.12,0,38.272, ,,,,,,,,,,
70.12,0,38.339, ,,,,,,,,,,
71.35,0,38.35, ,,,,,,,,,,
71.35,0,38.418, ,,,,,,,,,,
73.3,0,38.43, ,,,,,,,,,,
73.3,0,38.498, ,,,,,,,,,,
77.37,0,38.51, ,,,,,,,,,,
77.37,0,38.578, ,,,,,,,,,,
82.97,0,38.59, ,,,,,,,,,,
82.97,0,38.658, ,,,,,,,,,,
92.4,0,38.669, ,,,,,,,,,,
92.4,0,38.736, ,,,,,,,,,,
107.01,0,38.749, ,,,,,,,,,,
124.62,0,38.818, ,,,,,,,,,,
142.33,300,38.886, ,,,,,,,,,,
157.25,300,38.955, ,,,,,,,,,,
161.51,300,39.023, ,,,,,,,,,,
157.73,300,39.091, ,,,,,,,,,,
155.47,300,39.159, ,,,,,,,,,,
156.53,300,39.227, ,,,,,,,,,,
156.69,300,39.296, ,,,,,,,,,,
147.17,300,39.364, ,,,,,,,,,,
134.65,300,39.432, ,,,,,,,,,,
118.99,300,39.5, ,,,,,,,,,,
103.59,300,39.569, ,,,,,,,,,,
91.35,300,39.636, ,,,,,,,,,,
91.35,300,39.703, ,,,,,,,,,,
82.17,0,39.715, ,,,,,,,,,,
82.17,0,39.783, ,,,,,,,,,,
75.92,0,39.795, ,,,,,,,,,,
75.92,0,39.863, ,,,,,,,,,,
72.55,0,39.875, ,,,,,,,,,,
72.55,0,39.943, ,,,,,,,,,,
71.99,0,39.954, ,,,,,,,,,,
71.99,0,40.022, ,,,,,,,,,,
71.99,0,40.034, ,,,,,,,,,,
71.62,0,40.046, ,,,,,,,,,,
71.62,0,40.113, ,,,,,,,,,,
71.57,0,40.125, ,,,,,,,,,,
71.57,0,40.193, ,,,,,,,,,,
72.28,0,40.204, ,,,,,,,,,,
72.28,0,40.272, ,,,,,,,,,,
75.35,0,40.284, ,,,,,,,,,,
75.35,0,40.351, ,,,,,,,,,,
80.92,0,40.364, ,,,,,,,,,,
80.92,0,40.431, ,,,,,,,,,,
88.63,0,40.443, ,,,,,,,,,,
88.63,0,40.511, ,,,,,,,,,,
101.21,0,40.522, ,,,,,,,,,,
115.96,0,40.592, ,,,,,,,,,,
135.01,0,40.66, ,,,,,,,,,,
151.05,300,40.728, ,,,,,,,,,,
162.14,300,40.797, ,,,,,,,,,,
162.16,300,40.865, ,,,,,,,,,,
157.5,300,40.933, ,,,,,,,,,,
156.12,300,41.001, ,,,,,,,,,,
158.21,300,41.069, ,,,,,,,,,,
158.41,300,41.138, ,,,,,,,,,,
150.83,300,41.206, ,,,,,,,,,,
140.04,300,41.274, ,,,,,,,,,,
127.02,300,41.342, ,,,,,,,,,,
111.09,300,41.411, ,,,,,,,,,,
97.6,300,41.479, ,,,,,,,,,,
97.6,300,41.545, ,,,,,,,,,,
85.67,300,41.558, ,,,,,,,,,,
85.67,300,41.625, ,,,,,,,,,,
77.55,0,41.637, ,,,,,,,,,,
77.55,0,41.705, ,,,,,,,,,,
73.62,0,41.717, ,,,,,,,,,,
73.62,0,41.785, ,,,,,,,,,,
70.82,0,41.796, ,,,,,,,,,,
70.82,0,41.864, ,,,,,,,,,,
70.53,0,41.876, ,,,,,,,,,,
70.53,0,41.944, ,,,,,,,,,,
70.68,0,41.956, ,,,,,,,,,,
70.68,0,42.023, ,,,,,,,,,,
70.01,0,42.035, ,,,,,,,,,,
70.01,0,42.102, ,,,,,,,,,,
70.96,0,42.115, ,,,,,,,,,,
70.96,0,42.182, ,,,,,,,,,,
73.01,0,42.194, ,,,,,,,,,,
73.01,0,42.262, ,,,,,,,,,,
77.06,0,42.274, ,,,,,,,,,,
77.06,0,42.342, ,,,,,,,,,,
82.55,0,42.353, ,,,,,,,,,,
82.55,0,42.421, ,,,,,,,,,,
90.48,0,42.433, ,,,,,,,,,,
90.48,0,42.501, ,,,,,,,,,,
104.3,0,42.513, ,,,,,,,,,,
120.96,0,42.582, ,,,,,,,,,,
139.66,0,42.65, ,,,,,,,,,,
154.69,300,42.719, ,,,,,,,,,,
163.48,300,42.786, ,,,,,,,,,,
161.59,300,42.855, ,,,,,,,,,,
157.63,300,42.924, ,,,,,,,,,,
156.57,300,42.991, ,,,,,,,,,,
157.97,300,43.06, ,,,,,,,,,,
158.09,300,43.127, ,,,,,,,,,,
152.87,300,43.196, ,,,,,,,,,,
142.97,300,43.265, ,,,,,,,,,,
130.88,300,43.332, ,,,,,,,,,,
115.18,300,43.401, ,,,,,,,,,,
100.22,300,43.469, ,,,,,,,,,,
89.65,300,43.537, ,,,,,,,,,,
89.65,300,43.603, ,,,,,,,,,,
80.98,0,43.616, ,,,,,,,,,,
80.98,0,43.683, ,,,,,,,,,,
80.98,0,43.696, ,,,,,,,,,,
74.18,0,43.707, ,,,,,,,,,,
74.18,0,43.774, ,,,,,,,,,,
71.55,0,43.787, ,,,,,,,,,,
71.55,0,43.854, ,,,,,,,,,,
71.41,0,43.866, ,,,,,,,,,,
71.41,0,43.933, ,,,,,,,,,,
70.89,0,43.945, ,,,,,,,,,,
70.89,0,44.013, ,,,,,,,,,,
70.83,0,44.025, ,,,,,,,,,,
70.83,0,44.093, ,,,,,,,,,,
72.34,0,44.104, ,,,,,,,,,,
72.34,0,44.173, ,,,,,,,,,,
75.61,0,44.184, ,,,,,,,,,,
75.61,0,44.252, ,,,,,,,,,,
79.91,0,44.264, ,,,,,,,,,,
79.91,0,44.332, ,,,,,,,,,,
87.02,0,44.344, ,,,,,,,,,,
87.02,0,44.411, ,,,,,,,,,,
87.02,0,44.423, ,,,,,,,,,,
100.17,0,44.435, ,,,,,,,,,,
115.54,0,44.504, ,,,,,,,,,,
134.47,0,44.572, ,,,,,,,,,,
150.88,300,44.64, ,,,,,,,,,,
161.21,300,44.708, ,,,,,,,,,,
162.32,300,44.777, ,,,,,,,,,,
158.07,300,44.845, ,,,,,,,,,,
156.73,300,44.913, ,,,,,,,,,,
157.56,300,44.982, ,,,,,,,,,,
157.63,300,45.049, ,,,,,,,,,,
150.94,300,45.118, ,,,,,,,,,,
139.74,300,45.187, ,,,,,,,,,,
126.94,300,45.254, ,,,,,,,,,,
111.13,300,45.323, ,,,,,,,,,,
97.27,300,45.39, ,,,,,,,,,,
97.27,300,45.458, ,,,,,,,,,,
85.68,300,45.469, ,,,,,,,,,,
85.68,300,45.537, ,,,,,,,,,,
78.41,0,45.549, ,,,,,,,,,,
78.41,0,45.617, ,,,,,,,,,,
73.5,0,45.629, ,,,,,,,,,,
73.5,0,45.697, ,,,,,,,,,,
70.88,0,45.708, ,,,,,,,,,,
70.88,0,45.775, ,,,,,,,,,,
70.5,0,45.788, ,,,,,,,,,,
70.5,0,45.855, ,,,,,,,,,,
70.3,0,45.868, ,,,,,,,,,,
70.3,0,45.935, ,,,,,,,,,,
70.38,0,45.946, ,,,,,,,,,,
70.38,0,46.015, ,,,,,,,,,,
71.11,0,46.026, ,,,,,,,,,,
71.11,0,46.094, ,,,,,,,,,,
73.08,0,46.106, ,,,,,,,,,,
73.08,0,46.174, ,,,,,,,,,,
76.42,0,46.186, ,,,,,,,,,,
76.42,0,46.254, ,,,,,,,,,,
82.54,0,46.265, ,,,,,,,,,,
82.54,0,46.332, ,,,,,,,,,,
91.64,0,46.345, ,,,,,,,,,,
91.64,0,46.412, ,,,,,,,,,,
105.49,0,46.425, ,,,,,,,,,,
122.75,0,46.493, ,,,,,,,,,,
141.11,300,46.562, ,,,,,,,,,,
155.97,300,46.63, ,,,,,,,,,,
161.49,300,46.698, ,,,,,,,,,,
157.47,300,46.767, ,,,,,,,,,,
155.53,300,46.835, ,,,,,,,,,,
156.79,300,46.903, ,,,,,,,,,,
155.95,300,46.971, ,,,,,,,,,,
145.88,300,47.04, ,,,,,,,,,,
133.99,300,47.108, ,,,,,,,,,,
118.44,300,47.176, ,,,,,,,,,,
102.7,300,47.245, ,,,,,,,,,,
91.22,300,47.312, ,,,,,,,,,,
91.22,300,47.379, ,,,,,,,,,,
81.89,0,47.391, ,,,,,,,,,,
81.89,0,47.459, ,,,,,,,,,,
75.41,0,47.471, ,,,,,,,,,,
75.41,0,47.539, ,,,,,,,,,,
71.82,0,47.55, ,,,,,,,,,,
71.82,0,47.618, ,,,,,,,,,,
71.61,0,47.63, ,,,,,,,,,,
71.61,0,47.697, ,,,,,,,,,,
71.6,0,47.71, ,,,,,,,,,,
71.6,0,47.777, ,,,,,,,,,,
71.16,0,47.789, ,,,,,,,,,,
71.16,0,47.857, ,,,,,,,,,,
72.19,0,47.868, ,,,,,,,,,,
72.19,0,47.936, ,,,,,,,,,,
75.01,0,47.948, ,,,,,,,,,,
75.01,0,48.016, ,,,,,,,,,,
80.27,0,48.028, ,,,,,,,,,,
80.27,0,48.096, ,,,,,,,,,,
86.94,0,48.107, ,,,,,,,,,,
86.94,0,48.175, ,,,,,,,,,,
98.81,0,48.187, ,,,,,,,,,,
98.81,0,48.254, ,,,,,,,,,,
116.17,0,48.267, ,,,,,,,,,,
135.14,0,48.335, ,,,,,,,,,,
151.21,300,48.404, ,,,,,,,,,,
161.99,300,48.473, ,,,,,,,,,,
162.19,300,48.54, ,,,,,,,,,,
158.01,300,48.609, ,,,,,,,,,,
156.57,300,48.677, ,,,,,,,,,,
157.09,300,48.745, ,,,,,,,,,,
158.53,300,48.814, ,,,,,,,,,,
150.63,300,48.882, ,,,,,,,,,,
140.6,300,48.95, ,,,,,,,,,,
127.76,300,49.018, ,,,,,,,,,,
111.81,300,49.087, ,,,,,,,,,,
97.49,300,49.155, ,,,,,,,,,,
97.49,300,49.221, ,,,,,,,,,,
85.77,300,49.233, ,,,,,,,,,,
85.77,300,49.301, ,,,,,,,,,,
78.28,0,49.313, ,,,,,,,,,,
78.28,0,49.381, ,,,,,,,,,,
73.45,0,49.392, ,,,,,,,,,,
73.45,0,49.46, ,,,,,,,,,,
70.66,0,49.472, ,,,,,,,,,,
70.66,0,49.54, ,,,,,,,,,,
70.68,0,49.552, ,,,,,,,,,,
70.68,0,49.619, ,,,,,,,,,,
70.59,0,49.631, ,,,,,,,,,,
70.59,0,49.699, ,,,,,,,,,,
70.23,0,49.711, ,,,,,,,,,,
70.23,0,49.778, ,,,,,,,,,,
70.52,0,49.79, ,,,,,,,,,,
70.52,0,49.858, ,,,,,,,,,,
73.21,0,49.87, ,,,,,,,,,,
73.21,0,49.938, ,,,,,,,,,,
77.1,0,49.949, ,,,,,,,,,,
77.1,0,50.017, ,,,,,,,,,,
82.7,0,50.029, ,,,,,,,,,,
82.7,0,50.097, ,,,,,,,,,,
91.48,0,50.109, ,,,,,,,,,,
91.48,0,50.177, ,,,,,,,,,,
105.63,0,50.188, ,,,,,,,,,,
122.49,0,50.257, ,,,,,,,,,,
141.02,300,50.326, ,,,,,,,,,,
155.83,300,50.394, ,,,,,,,,,,
161.23,300,50.462, ,,,,,,,,,,
158.15,300,50.531, ,,,,,,,,,,
156.14,300,50.598, ,,,,,,,,,,
155.68,300,50.667, ,,,,,,,,,,
155.52,300,50.736, ,,,,,,,,,,
145.45,300,50.803, ,,,,,,,,,,
133.52,300,50.872, ,,,,,,,,,,
117.83,300,50.94, ,,,,,,,,,,
102.63,300,51.008, ,,,,,,,,,,
90.97,300,51.077, ,,,,,,,,,,
90.97,300,51.143, ,,,,,,,,,,
82.03,0,51.155, ,,,,,,,,,,
82.03,0,51.223, ,,,,,,,,,,
75.46,0,51.234, ,,,,,,,,,,
75.46,0,51.302, ,,,,,,,,,,
72.18,0,51.314, ,,,,,,,,,,
72.18,0,51.382, ,,,,,,,,,,
71.73,0,51.394, ,,,,,,,,,,
71.73,0,51.462, ,,,,,,,,,,
71.37,0,51.473, ,,,,,,,,,,
71.37,0,51.54, ,,,,,,,,,,
71.52,0,51.553, ,,,,,,,,,,
71.52,0,51.62, ,,,,,,,,,,
71.95,0,51.633, ,,,,,,,,,,
71.95,0,51.7, ,,,,,,,,,,
74.93,0,51.713, ,,,,,,,,,,
74.93,0,51.78, ,,,,,,,,,,
80,0,51.791, ,,,,,,,,,,
80,0,51.859, ,,,,,,,,,,
86.97,0,51.871, ,,,,,,,,,,
86.97,0,51.939, ,,,,,,,,,,
98.4,0,51.951, ,,,,,,,,,,
98.4,0,52.019, ,,,,,,,,,,
98.4,0,52.03, ,,,,,,,,,,
119,0,52.042, ,,,,,,,,,,
137.78,0,52.111, ,,,,,,,,,,
153.68,300,52.179, ,,,,,,,,,,
162.67,300,52.247, ,,,,,,,,,,
162.34,300,52.316, ,,,,,,,,,,
157.86,300,52.384, ,,,,,,,,,,
156.84,300,52.452, ,,,,,,,,,,
157.75,300,52.52, ,,,,,,,,,,
158.55,300,52.589, ,,,,,,,,,,
151.64,300,52.657, ,,,,,,,,,,
141.59,300,52.725, ,,,,,,,,,,
129.31,300,52.794, ,,,,,,,,,,
113.81,300,52.861, ,,,,,,,,,,
98.99,300,52.93, ,,,,,,,,,,
98.99,300,52.997, ,,,,,,,,,,
87.26,300,53.009, ,,,,,,,,,,
87.26,300,53.076, ,,,,,,,,,,
78.92,0,53.088, ,,,,,,,,,,
78.92,0,53.155, ,,,,,,,,,,
73.9,0,53.168, ,,,,,,,,,,
73.9,0,53.235, ,,,,,,,,,,
71.41,0,53.248, ,,,,,,,,,,
71.41,0,53.315, ,,,,,,,,,,
70.81,0,53.327, ,,,,,,,,,,
70.81,0,53.395, ,,,,,,,,,,
70.57,0,53.406, ,,,,,,,,,,
70.57,0,53.474, ,,,,,,,,,,
70.88,0,53.486, ,,,,,,,,,,
70.88,0,53.554, ,,,,,,,,,,
71.12,0,53.566, ,,,,,,,,,,
71.12,0,53.634, ,,,,,,,,,,
73.67,0,53.645, ,,,,,,,,,,
73.67,0,53.712, ,,,,,,,,,,
77.83,0,53.725, ,,,,,,,,,,
77.83,0,53.792, ,,,,,,,,,,
83.65,0,53.805, ,,,,,,,,,,
83.65,0,53.872, ,,,,,,,,,,
92.67,0,53.884, ,,,,,,,,,,
92.67,0,53.952, ,,,,,,,,,,
107.62,0,53.963, ,,,,,,,,,,
125.06,0,54.033, ,,,,,,,,,,
143.04,300,54.1, ,,,,,,,,,,
156.97,300,54.169, ,,,,,,,,,,
161.67,300,54.238, ,,,,,,,,,,
158.1,300,54.305, ,,,,,,,,,,
155.71,300,54.374, ,,,,,,,,,,
156.6,300,54.443, ,,,,,,,,,,
156.77,300,54.51, ,,,,,,,,,,
147.49,300,54.579, ,,,,,,,,,,
135.03,300,54.647, ,,,,,,,,,,
120.24,300,54.715, ,,,,,,,,,,
104.88,300,54.784, ,,,,,,,,,,
92.68,300,54.852, ,,,,,,,,,,
92.68,300,54.919, ,,,,,,,,,,
82.86,0,54.931, ,,,,,,,,,,
82.86,0,54.998, ,,,,,,,,,,
75.73,0,55.01, ,,,,,,,,,,
75.73,0,55.077, ,,,,,,,,,,
72.38,0,55.09, ,,,,,,,,,,
72.38,0,55.157, ,,,,,,,,,,
71.75,0,55.17, ,,,,,,,,,,
71.75,0,55.237, ,,,,,,,,,,
71.69,0,55.248, ,,,,,,,,,,
71.69,0,55.316, ,,,,,,,,,,
71.61,0,55.328, ,,,,,,,,,,
71.61,0,55.396, ,,,,,,,,,,
72.29,0,55.408, ,,,,,,,,,,
72.29,0,55.476, ,,,,,,,,,,
75.8,0,55.487, ,,,,,,,,,,
75.8,0,55.555, ,,,,,,,,,,
80.93,0,55.567, ,,,,,,,,,,
80.93,0,55.634, ,,,,,,,,,,
88,0,55.647, ,,,,,,,,,,
88,0,55.714, ,,,,,,,,,,
88,0,55.727, ,,,,,,,,,,
102.68,0,55.738, ,,,,,,,,,,
118.19,0,55.806, ,,,,,,,,,,
137.58,0,55.875, ,,,,,,,,,,
153.15,300,55.943, ,,,,,,,,,,
162.83,300,56.011, ,,,,,,,,,,
162.53,300,56.08, ,,,,,,,,,,
157.94,300,56.147, ,,,,,,,,,,
156.69,300,56.216, ,,,,,,,,,,
157.92,300,56.285, ,,,,,,,,,,
158.28,300,56.352, ,,,,,,,,,,
151.55,300,56.421, ,,,,,,,,,,
141.56,300,56.489, ,,,,,,,,,,
129.37,300,56.557, ,,,,,,,,,,
113.23,300,56.626, ,,,,,,,,,,
98.64,300,56.694, ,,,,,,,,,,
98.64,300,56.761, ,,,,,,,,,,
87.12,300,56.773, ,,,,,,,,,,
87.12,300,56.841, ,,,,,,,,,,
78.74,0,56.852, ,,,,,,,,,,
78.74,0,56.92, ,,,,,,,,,,
73.38,0,56.932, ,,,,,,,,,,
73.38,0,56.999, ,,,,,,,,,,
71.21,0,57.012, ,,,,,,,,,,
71.21,0,57.079, ,,,,,,,,,,
70.71,0,57.091, ,,,,,,,,,,
70.71,0,57.158, ,,,,,,,,,,
70.71,0,57.17, ,,,,,,,,,,
70.71,0,57.238, ,,,,,,,,,,
70.5,0,57.25, ,,,,,,,,,,
70.5,0,57.318, ,,,,,,,,,,
70.5,0,57.329, ,,,,,,,,,,
71.2,0,57.341, ,,,,,,,,,,
71.2,0,57.409, ,,,,,,,,,,
71.2,0,57.42, ,,,,,,,,,,
74.78,0,57.433, ,,,,,,,,,,
74.78,0,57.499, ,,,,,,,,,,
79.13,0,57.511, ,,,,,,,,,,
79.13,0,57.579, ,,,,,,,,,,
85.46,0,57.591, ,,,,,,,,,,
85.46,0,57.659, ,,,,,,,,,,
96.25,0,57.67, ,,,,,,,,,,
96.25,0,57.738, ,,,,,,,,,,
113.18,0,57.75, ,,,,,,,,,,
131.47,0,57.82, ,,,,,,,,,,
148.45,300,57.887, ,,,,,,,,,,
160.75,300,57.956, ,,,,,,,,,,
162.1,300,58.024, ,,,,,,,,,,
157.13,300,58.092, ,,,,,,,,,,
156.48,300,58.161, ,,,,,,,,,,
157.31,300,58.229, ,,,,,,,,,,
157.64,300,58.297, ,,,,,,,,,,
149.64,300,58.365, ,,,,,,,,,,
138.44,300,58.434, ,,,,,,,,,,
124.72,300,58.502, ,,,,,,,,,,
108.87,300,58.57, ,,,,,,,,,,
95.92,300,58.639, ,,,,,,,,,,
95.92,300,58.705, ,,,,,,,,,,
84.79,0,58.717, ,,,,,,,,,,
84.79,0,58.784, ,,,,,,,,,,
77.21,0,58.797, ,,,,,,,,,,
77.21,0,58.864, ,,,,,,,,,,
73.38,0,58.876, ,,,,,,,,,,
73.38,0,58.944, ,,,,,,,,,,
72.69,0,58.955, ,,,,,,,,,,
72.69,0,59.023, ,,,,,,,,,,
72.4,0,59.035, ,,,,,,,,,,
72.4,0,59.103, ,,,,,,,,,,
72.4,0,59.115, ,,,,,,,,,,
72.28,0,59.126, ,,,,,,,,,,
72.28,0,59.194, ,,,,,,,,,,
73.43,0,59.206, ,,,,,,,,,,
73.43,0,59.274, ,,,,,,,,,,
77.68,0,59.285, ,,,,,,,,,,
77.68,0,59.353, ,,,,,,,,,,
83.47,0,59.365, ,,,,,,,,,,
83.47,0,59.432, ,,,,,,,,,,
92.84,0,59.445, ,,,,,,,,,,
92.84,0,59.512, ,,,,,,,,,,
107.32,0,59.525, ,,,,,,,,,,
124.38,0,59.593, ,,,,,,,,,,
142.75,300,59.662, ,,,,,,,,,,
156.96,300,59.729, ,,,,,,,,,,
162.15,300,59.798, ,,,,,,,,,,
158.42,300,59.867, ,,,,,,,,,,
155.63,300,59.934, ,,,,,,,,,,
156.01,300,60.003, ,,,,,,,,,,
155.63,300,60.071, ,,,,,,,,,,
146.76,300,60.139, ,,,,,,,,,,
134.39,300,60.208, ,,,,,,,,,,
118.79,300,60.276, ,,,,,,,,,,
103.72,300,60.344, ,,,,,,,,,,
91.73,300,60.412, ,,,,,,,,,,
91.73,300,60.479, ,,,,,,,,,,
82.34,0,60.491, ,,,,,,,,,,
82.34,0,60.559, ,,,,,,,,,,
76.23,0,60.57, ,,,,,,,,,,
76.23,0,60.638, ,,,,,,,,,,
72.51,0,60.65, ,,,,,,,,,,
72.51,0,60.718, ,,,,,,,,,,
72.24,0,60.73, ,,,,,,,,,,
72.24,0,60.797, ,,,,,,,,,,
71.8,0,60.809, ,,,,,,,,,,
71.8,0,60.877, ,,,,,,,,,,
71.24,0,60.889, ,,,,,,,,,,
71.24,0,60.956, ,,,,,,,,,,
72.49,0,60.968, ,,,,,,,,,,
72.49,0,61.036, ,,,,,,,,,,
75.54,0,61.048, ,,,,,,,,,,
75.54,0,61.116, ,,,,,,,,,,
79.79,0,61.127, ,,,,,,,,,,
79.79,0,61.195, ,,,,,,,,,,
87.53,0,61.207, ,,,,,,,,,,
87.53,0,61.275, ,,,,,,,,,,
99.08,0,61.287, ,,,,,,,,,,
99.08,0,61.355, ,,,,,,,,,,
117.05,0,61.366, ,,,,,,,,,,
135.72,0,61.435, ,,,,,,,,,,
151.98,300,61.504, ,,,,,,,,,,
161.78,300,61.572, ,,,,,,,,,,
162.25,300,61.64, ,,,,,,,,,,
157.31,300,61.709, ,,,,,,,,,,
157.33,300,61.776, ,,,,,,,,,,
158.26,300,61.845, ,,,,,,,,,,
158.74,300,61.914, ,,,,,,,,,,
151.76,300,61.981, ,,,,,,,,,,
141.27,300,62.05, ,,,,,,,,,,
128.42,300,62.118, ,,,,,,,,,,
112.17,300,62.186, ,,,,,,,,,,
97.78,300,62.255, ,,,,,,,,,,
97.78,300,62.321, ,,,,,,,,,,
86.25,300,62.333, ,,,,,,,,,,
86.25,300,62.401, ,,,,,,,,,,
78.04,0,62.413, ,,,,,,,,,,
78.04,0,62.48, ,,,,,,,,,,
78.04,0,62.492, ,,,,,,,,,,
73.18,0,62.504, ,,,,,,,,,,
73.18,0,62.571, ,,,,,,,,,,
70.89,0,62.583, ,,,,,,,,,,
70.89,0,62.651, ,,,,,,,,,,
70.15,0,62.663, ,,,,,,,,,,
